Artist,title,date,country,sales,peak_chart
IZONE,Bloom*iz,2/17/2020,KOR,492504,2
IZONE,Bloom*iz,2/17/2020,JPN,23960,3
IZONE,TWELVE,10/21/2020,JPN,135113,1
IZONE,Color*Iz,10/29/2018,KOR,282816,2
IZONE,Color*Iz,10/29/2018,JPN,"48,734",1
IZONE,Heart*Iz,4/1/2020,KOR,306812,1
IZONE,Heart*Iz,4/1/2020,JPN,40065,4
IZONE,Oneiric Diary,6/15/2020,KOR,559138,2
IZONE,Oneiric Diary,6/15/2020,JPN,19928,8
IZONE,One-reeler/Act IV,12/7/2020,KOR,447749,1
ITZY,It'z Icy,5/29/2019,KOR,149349,3
ITZY,It'z Icy,5/29/2019,JPN,15742,12
ITZY,It'z Me,3/9/2020,KOR,150851,1
ITZY,It'z Me,3/9/2020,JPN,10882,13
ITZY,Not Shy,8/17/2020,KOR,219048,1
ITZY,Not Shy,8/17/2020,JPN,14201,8
Stray Kids,In Life,9/14/2020,KOR,473616,1
Stray Kids,In Life,9/14/2020,JPN,39911,11
Stray Kids,Mixtape,1/8/2018,KOR,118921,2
Stray Kids,Mixtape,1/8/2018,JPN,1063,47
Stray Kids,I Am Not,3/26/2018,KOR,159343,4
Stray Kids,I Am Not,3/26/2018,JPN,2036,0
Stray Kids,I Am Who,8/6/2018,KOR,185273,3
Stray Kids,I Am Who,8/6/2018,JPN,1474,34
Stray Kids,I Am You,10/22/2018,KOR,189129,2
Stray Kids,I Am You,10/22/2018,JPN,2234,34
Stray Kids,Miroh,3/25/2019,KOR,226383,1
Stray Kids,Miroh,3/25/2019,JPN,5856,15
Stray Kids,Yellow Wood,6/19/2019,KOR,192796,2
Stray Kids,Yellow Wood,6/19/2019,JPN,3379,17
Stray Kids,Levanter,12/9/2019,KOR,247074,1
Stray Kids,Levanter,12/9/2019,JPN,9116,17
Stray Kids,All In,11/4/2020,JPN,59361,2
Treasure,Treasure Effect,1/11/2021,KOR,307457,1
Treasure,Treasure Effect,1/11/2021,JPN,83755,1
Treasure,Chapter One,8/7/2020,KOR,250000,1
Treasure,Chapter Two,9/18/2020,KOR,239326,2
Treasure,Chapter Three,11/6/2020,KOR,232134,1
TXT,Magic,10/21/2019,KOR,300910,1
TXT,Magic,10/21/2019,JPN,14296,11
TXT,Still Dreaming,1/20/2021,JPN,102041,1
TXT,Star,3/4/2019,KOR,278846,1
TXT,Star,3/4/2019,JPN,26176,3
TXT,Eternity,5/18/2020,KOR,379053,2
TXT,Eternity,5/18/2020,JPN,38814,1
TXT,Blue Hour,10/26/2020,KOR,508626,1
TXT,Blue Hour,10/26/2020,JPN,43870,1
(G)I-dle,Dumdi Dumdi,8/3/2020,KOR,125801,2
(G)I-dle,Dumdi Dumdi,8/3/2020,CHN,182749,0
(G)I-dle,I Am,5/2/2018,KOR,51831,6
(G)I-dle,I Made,2/26/2019,KOR,51041,2
(G)I-dle,I Trust,4/6/2020,KOR,154499,1
(G)I-dle,I Trust,4/6/2020,JPN,1380,48
(G)I-dle,I Burn,1/11/2021,KOR,207927,3
(G)I-dle,Latata,7/29/2019,JPN,8229,5
(G)I-dle,Oh My God,8/26/2020,JPN,4229,23
Cravity,Season 1. Hideout: Remember Who We Are,4/14/2020,KOR,154360,1
Cravity,Season 1. Hideout: Remember Who We Are,4/14/2020,JPN,7304,10
Cravity,"Season 2. Hideout: The New Day We Step Into	
",4/24/2020,KOR,166644,1
Cravity,"Season 2. Hideout: The New Day We Step Into	
",4/24/2020,JPN,10966,15
Cravity,"Season 2. Hideout: The New Day We Step Into	
",1/19/2021,KOR,162136,3
Cravity,"Season 2. Hideout: The New Day We Step Into	
",1/19/2021,JPN,8869,12
Verivery,"Veri-Us	
",1/9/2019,KOR,24080,4
Verivery,Veri-Able,4/24/2019,KOR,17630,6
Verivery,Face Me,1/7/2020,KOR,28440,4
Verivery,Face You,7/1/2020,KOR,39626,8
Verivery,Face Us,10/13/2020,KOR,59704,7
Verivery,Veri-Chill,7/31/2019,KOR,16698,10
Verivery,Series 'O' Round 1: Hall,3/2/2021,KOR,49999,4
Loona,[ + +],8/20/2018,KOR,61466,2
Loona,[#],2/5/2020,KOR,83522,2
Loona,[12:00],10/19/2020,KOR,116614,4
Loona,Love & Live,3/13/2017,KOR,7130,10
Loona,Mix & Match,9/21/2017,KOR,7869,16
Loona,beauty&thebeat,5/30/2018,KOR,18138,4
Loona,[x x],2/19/2019,KOR,45782,3
Loona,Love & Evil,4/27/2017,KOR,5924,24
Loona,Max & Match ,10/31/2017,KOR,11136,7
Ateez,Treasure EP.Fin: All to Action,10/8/2019,KOR,209316,1
Ateez,Treasure EP.Extra: Shift the Map,12/4/2019,JPN,13113,9
Ateez,Into the A to Z,3/24/2021,JPN,10813,6
Ateez,Treasure EP.1: All to Zero,10/24/2018,KOR,85109,7
Ateez,Treasure EP.2: Zero to One,1/15/2019,KOR,100039,6
Ateez,Treasure EP.3: One to All,6/10/2019,KOR,180121,2
Ateez,Treasure EP.3: One to All,6/10/2019,JPN,2896,25
Ateez,Treasure Epilogue: Action to Answer,1/6/2020,KOR,184339,1
Ateez,Treasure Epilogue: Action to Answer,1/6/2020,JPN,1472,31
Ateez,Treasure EP. Map to Answer,2/12/2020,JPN,18720,3
Ateez,Zero: Fever Part.1,7/29/2020,KOR,379505,1
Ateez,Zero: Fever Part.1,7/29/2020,JPN,11324,35
Ateez,Zero: Fever Part.2,3/1/2021,KOR,380711,1
Ateez,Zero: Fever Part.2,3/1/2021,JPN,11027,10
Everglow,Reminiscence,2/3/2020,KOR,30912,4
Everglow,Reminiscence,2/3/2020,JPN,1649,48
Everglow,-77.82X-78.29,9/21/2020,KOR,49388,4
Everglow,Arrival of Everglow,3/18/2019,KOR,28033,6
Everglow,Hush,8/19/2019,KOR,28639,5